Gene	auc
Pibf1	0.595976272044109
C1qbp	0.593446221914768
H2-T10	0.593163994073065
Anxa5	0.592367919537641
Creld2	0.591939355605972
Ctsz	0.591752127256051
Nsun2	0.591471183781554
Glb1	0.591110785385084
H2-Q6	0.590882682890706
Nucb1	0.590002449706369
Sod1	0.589915373429704
Ctsb	0.589766926675663
Il16	0.587749899121807
Rnpep	0.587724694999672
Npepps	0.585347774351673
Ppt1	0.584657003609185
Glipr1	0.583989655145997
Gfer	0.583699957882013
Cnp	0.582934242610702
Creg1	0.582274128163667
Rbmxl1	0.58156573368153
Pgk1	0.58132672421792
H2-M3	0.580102297825625
Pdia6	0.579954691038586
Rab5b	0.578976661541124
S100a13	0.578847501952895
S100a10	0.578548909188099
Hmgb2	0.577136913206795
Ltb	0.576938161302532
Ifnar2	0.576898369901564
Tgfb1	0.574430397734871
Ifi35	0.5740704133503
Rbmx	0.573600405764476
Gusb	0.573422315321386
Hmgn2	0.573382425897874
Cat	0.57337346781735
Manf	0.572167975433964
Rap1gds1	0.571928416781015
Pdia4	0.571521822925095
Dnajc9	0.571458343977409
Cd47	0.571179014233806
Hspd1	0.570915898414142
Rnaset2b	0.569747382476801
Tgfbr2	0.569615979624515
Rab11a	0.569549268545123
Srgn	0.568408378397516
Cst3	0.568190006115468
Ago2	0.567632874966663
Slmap	0.566729026422598
H2-Q7	0.566071682340172
H2-T22	0.565296390199499
Lgals9	0.564518430744708
Dicer1	0.56418797211749
Klk8	0.563786579701898
Erap1	0.563490627691565
Adprh	0.563289058084745
Naxe	0.562858205669443
Sema4d	0.562535980205057
Cklf	0.562402393426942
Mydgf	0.561856952243578
Utp11	0.561261155621886
Gsdmd	0.56119220839507
Atp6ap2	0.560939565621051
Ddt	0.560748645056533
Pebp1	0.56059784564217
Npc2	0.56057904384606
Dbi	0.56047968599808
Nmi	0.560133473110664
H2-Q4	0.560130891873981
Tsg101	0.55987018354368
Mif	0.559861413899507
Calr	0.559207821691986
Hdlbp	0.558016114556275
Man2b1	0.555411360742201
Selenos	0.554741720090483
Dnajb11	0.554496247603481
Hdgf	0.554303006485903
Pdcd6ip	0.553897934918632
Psap	0.551866317349492
Stx4a	0.551558117175093
Pdap1	0.550840631646657
Aldoa	0.549505881927453
Pdia3	0.547430554521946
Hexb	0.546665676956405
Itm2b	0.545759348750284
Hspa4	0.545429106754948
Sdcbp	0.54530955632931
Lnpep	0.545183194283701
Copa	0.545107424089706
Pcmt1	0.543072706533269
H2-T23	0.542260652343764
Plaa	0.541797734869966
Lman2	0.54100376393217
Ist1	0.540784323671955
Cr1l	0.540636178141363
Clic1	0.540390589685756
Bag6	0.53916399890781
Aimp1	0.53830588785131
H2-K1	0.536889694401768
Actg1	0.536038146146573
Ybx1	0.535806405697641
Gpi1	0.534952330347725
Hmgb1	0.534865984312063
H2-D1	0.53485409069463
Sri	0.532427077056149
Hspa8	0.532319271319895
Arhgdia	0.531803162238869
B2m	0.530336688799643
Rpl39	0.529228565347304
Hnrnpa2b1	0.527985224071124
Tpt1	0.525933067553049
Ppia	0.521860751595258
Fau	0.521376299167961
